200304130178-012	1019	1019	2003/4/13	1	1006564	2	0.5	1
200304130180-012	1019	1019	2003/4/13	1	1021323	1	3.6	3.6
200304130180-012	1019	1019	2003/4/13	2	1021353	1	2.5	2.5
200304130180-012	1019	1019	2003/4/13	3	1027639	2	4.7	9.4
200304130180-012	1019	1019	2003/4/13	4	1038101	1	14.4	14.4
200304130181-012	1019	1019	2003/4/13	1	1040011	1	4.4	4.4
200304130182-012	1019	1019	2003/4/13	1	1002475	1	2.8	2.8
200304130182-012	1019	1019	2003/4/13	2	1014937	1	5.4	5.4
200304130182-012	1019	1019	2003/4/13	3	1001436	1	1.75	1.75
200304130182-012	1019	1019	2003/4/13	4	1004814	1	1.65	1.65
200304130182-012	1019	1019	2003/4/13	5	1021280	1	1.9	1.9
200304130184-012	1019	1019	2003/4/13	2	1048967	24	1.7	40.8
200304130184-012	1019	1019	2003/4/13	3	1003603	2	6	12
200304130184-012	1019	1019	2003/4/13	4	1032865	1	3.8	3.8
200304130184-012	1019	1019	2003/4/13	5	1034634	1	6.2	6.2
200304130184-012	1019	1019	2003/4/13	6	1018304	1	13.6	13.6
200304130184-012	1019	1019	2003/4/13	7	1018309	1	13.6	13.6
200304130184-012	1019	1019	2003/4/13	8	1001613	1	9.1	9.1
200304130186-012	1019	1019	2003/4/13	1	1038460	1	2.7	2.7
200304130186-012	1019	1019	2003/4/13	2	1037090	3	1.9	5.7
200304130186-012	1019	1019	2003/4/13	3	1001090	3	1.9	5.7
200304130187-012	1019	1019	2003/4/13	1	1048626	2	6	12
200304130188-012	1019	1019	2003/4/13	1	1027791	10	2.3	23
200304130188-012	1019	1019	2003/4/13	2	1041156	1	2.5	2.5
200304130188-012	1019	1019	2003/4/13	3	1040080	4	2.8	11.2
200304130188-012	1019	1019	2003/4/13	4	1021119	1	27.7	27.7
200304130188-012	1019	1019	2003/4/13	5	1044389	1	7.2	7.2
200304130188-012	1019	1019	2003/4/13	6	1021188	4	2.1	8.4
200304130188-012	1019	1019	2003/4/13	7	1040102	2	4.7	9.4
200304130188-012	1019	1019	2003/4/13	8	1043205	4	3.6	14.4
200304130188-012	1019	1019	2003/4/13	9	1003698	2	8.5	17
200304130188-012	1019	1019	2003/4/13	10	1038140	1	15.8	15.8
200304130188-012	1019	1019	2003/4/13	11	1007484	1	34.3	34.3
200304130188-012	1019	1019	2003/4/13	12	1040397	1	27.8	27.8
200304130189-012	1019	1019	2003/4/13	1	1025371	0.152	87	13.224
200304130189-012	1019	1019	2003/4/13	2	1044156	1	19	19
200304130189-012	1019	1019	2003/4/13	3	1007480	1	2.9	2.9
200304130189-012	1019	1019	2003/4/13	4	1006521	1	2.6	2.6
200304130189-012	1019	1019	2003/4/13	5	1023623	1	1.9	1.9
200304130189-012	1019	1019	2003/4/13	6	1008767	0.104	38	3.952
200304130189-012	1019	1019	2003/4/13	7	1010138	2	0.9	1.8
200304130190-012	1019	1019	2003/4/13	1	1026663	1	11	11
200304130191-012	1019	1019	2003/4/13	1	1010823	1	41.8	41.8
200304130191-012	1019	1019	2003/4/13	2	1042152	1	6.9	6.9
200304130191-012	1019	1019	2003/4/13	3	1044430	2	1	2
200304130191-012	1019	1019	2003/4/13	4	1012113	1	3	3
200304130191-012	1019	1019	2003/4/13	5	1012299	1	3	3
200304130191-012	1019	1019	2003/4/13	6	1012292	2	3	6
